那是我的台词！	That's MY line!
他的信寫得很親切，她讀了以後不禁感動得哭了起來。	So friendly was his letter that she was deeply moved and began to cry.
亞馬遜河的長度僅次於尼羅河，是世界第二長的河。	The Amazon is the second longest river in the world after the Nile.
非洲曾經被稱為黑暗大陸。	Africa was once called the Dark Continent.
那兩個要出去嗎？	Are those two going out?
那个店里没有适合我的帽子。	There were no hats in that store that fit me.
他是個有才能的人，我們相信他會成功。	We believe he will succeed, for he has talent.
那人很會討好老闆。	That man knows how to get on the president's good side.
他是我們的老闆，所以一定要受到這樣的禮待。	He is our boss, and must be treated as such.
我知道他的名字，但不知道他长什么样。	I know him by name, but not by sight.
他已經時日無多了。	He doesn't have long to live.
他竟然厚着脸皮穿过我们的花园。	He had the impudence to cut across our garden.
我不想要問他。	I'm not about to ask him.
我覺得你應該給他寫一封感謝信。	I suggest that you should write him a thank-you letter.
他們的煩惱是由一件瑣碎的事而起的。	Their trouble stems from a trifling matter.
當這位女士得知她已經贏得了百萬美元, 她真的樂瘋了。	The lady really flipped out when she learned she had won a million dollars.
那位女生对自己的美貌感到很骄傲。	That girl is vain of her beauty.
那些年輕人脫離父母獨立。	Those young men are independent of their parents.
那年轻人很喜欢骑自行车。	That young man is very keen on cycling.
當時我設法讓別人聽得懂我說的英語。	At the time I managed to make myself understood in English.
這份工作錄取仍然有效。	The job offer still stands.
用来发送出烟雾山。	The mountain used to send out clouds of smoke.
我們將要去爬那座山。	We are going to climb that mountain.
看來沒有必要幫助這個國家。	There seems no need to help that country.
建筑师创建了非常现代的房屋。	That architect builds very modern houses.
這家銀行一週前被搶劫。	The bank was held up a week ago.
這本教科書不合時了。	That textbook is out of date.
那幅畫是印象派的大師級作品。	That painting is a masterpiece of impressionist art.
你有聽過那首歌的法文版本嗎？	Have you ever heard that song sung in French?
這棟房子是屬於他的。	That house belongs to him.
這房子非常小。	That house is very small.
那房子比他那座好得多了。	That house is much better than this.
這房子鬧鬼。	The house is haunted.
那房子住了兩家人。	Two families live in that house.
你看，那邊正在冒煙，那棟大廈一定是失火了。	Look at that smoke. That building must be on fire.
這家賓館建於大約五十年前。	That hotel was established about 50 years ago.
你去那個超級市場，幾乎甚麼日用品都買得到。	If you go to that supermarket, you can buy most things you use in your daily life.
你把那点钱怎么花的？	What did you do with that money?
他們其中一人是間諜。	One of them is a spy.
小姐！我觉得不舒服。	Miss! I feel sick.
嚴以律己, 寬以待人。	Pardon all but thyself.
你讓我想起了你的父親。	You remind me of your father.
我想请你参加派对。	I'd like to invite you to the party.
我们很高兴你加入了我们班。	We are glad to have you in our class.
我開車送你回家吧。	I will drive you home.
我們兩個人都是學生。	Both you and I are students.
明天你可以看到他。	You will be able to see him tomorrow.
你明天這個時間會在甚麼地方？	Where will you be this time tomorrow?
你只要每天練習就可以了。	You have only to practice every day.
你每天也在家聽收音機嗎？	Do you listen to the radio at home every day?
你每天研讀英語嗎？	Do you study English every day?
你看似對這世間已了無牽掛。	You look as if you don't have a care in the world.
你一定要幫幫她。	It is necessary for you to help her.
你说日语吗?	Do you speak Japanese?
你很聰明。	You are sharp.
你住在東京, 不是嗎?	You live in Tokyo, don't you?
你是不是跟长岛家有关系的？	Are you related to the Nagashima family?
你很早起床，不是嗎?	You get up early, don't you?
你被老師罵了嗎？	Were you scolded by your teacher?
你一定要好好記住。	You must bear it in mind.
你不该吃太多。	You must not eat too much.
你跟老板合得来吗？	Do you get along with your boss?
你自己应该知道吧。	You must know yourself.
你不如跟我一起來。	You may as well come with me.
你能用英語表達自己嗎？	Can you express yourself in English?
你真冷酷無情。	You have no heart.
你对你的孩子期望过高。	You expect too much of your child.
我想你一定很喜歡你的工作吧。	I believe you like your job.
你昨天打棒球了没有？	Did you play baseball yesterday?
你只需要回答頭一個問題。	You have only to answer the first question.
今年夏天你打算去哪裏玩啊？	Where do you want to go this summer?
你現在有甚麼是一定要做的？	What must you do now?
你最好回家。	You'd better go home.
你是中學學生嗎？	Are you a high school student?
你想拿什么就拿什么。	You can take whatever you like.
你必須盡一切可能盡力而為, 免得你以後後悔。	You must do all you can lest you should regret later.
你去年寫了多少張聖誕卡？	How many Christmas cards did you write last year?
你去上學，不是嗎?	You go to school, don't you?
你有沒有去過外國？	Have you ever been to a foreign country?
你在国外待了多久？	How long did you stay abroad?
你去国外是玩儿还是出差？	Did you go abroad for pleasure or on business?
你要更好地利用闲暇时间。	You should make better use of your free time.
你有多少個兄弟姊妹？	How many siblings do you have?
你对音乐感不感兴趣？	Are you interested in music?
你有铅笔吗？	Do you have a pencil?
你在研讀英語嗎？	Are you studying English?
你在聽英語嗎？	Are you listening to English?
你可以把英文翻譯成日語嗎？	Can you translate English into Japanese?
你知道怎麼說英語嗎？	Do you know how to speak English?
你會用英語寫一封信嗎？	Can you write a letter in English?
您能用英語溝通您想要說的話嗎？	Can you communicate in English what you want to say?
你喜歡英語嗎？	Do you like English?
你故意犯那個錯的嗎?	Did you make that mistake on purpose?
你要小心一點。	You need to be more careful.
你把你的房間打掃好了沒有？	Have you finished cleaning your room yet?
你完全正確。	You are absolutely right.
你仍然很年輕。	You're still young.
別人聽得懂你說的法語嗎？	Can you make yourself understood in French?
你是否坐公共汽车去上学？	Do you go to school by bus?
你说得太轻了，以至于我没办法听清楚你在说什么。	You speak so softly that I cannot quite hear what you say.
你在哪里看到Nancy的？	Where did you see Nancy?
你最好馬上回家。	You may as well return home at once.
你看的书越多，你知道的越多。	The more books you read, the more you'll know.
你可以選擇他們之中的任何一個。	You may choose any of them.
你听到新闻了吗？	Did you hear the news?
你以前不是這樣說的。	You did not say so.
你應該馬上把功課做完。	You ought to finish your homework at once.
你的英語已有所改善。	You've improved your English.
你有沒有看過這篇文章？	Have you read this article?
你懂得用這台相機嗎？	Do you know how to use this camera?
你还是留在这儿吧。	You would do well to stay here.
你應該請 Green 先生幫你糾正英文發音。	You should have Mr Green correct your English pronunciation.
你可以隨意把相片送給想要它的人。	You may give this picture to whoever wants it.
你每个月洗几次车？	How often do you wash your car a month?
你说一套做一套。	You say one thing and then act just the opposite.
