我們試試看！	我們 試試看 ！
医生建议我戒烟。	医生 建议 我 戒烟 。
我可以参加吗？	我 可以 参加 吗 ？
他吃得很多。	他 吃得 很多 。
你应该努力工作。	你 应该 努力 工作 。
他在攒钱上大学。	他 在 攒钱 上 大学 。
爬这座山很困难。	爬 这座 山 很 困难 。
上次來吃的時候是很美味的。	上次 來 吃 的時候 是 很美 味 的 。
我記起上次見到她時，她也是穿著這條裙子的。	我 記起 上次 見到 她 時 ， 她 也是 穿著 這條 裙子 的 。
走慢點。	走慢 點 。
去加拿大渡蜜月要花很多錢。	去 加拿大 渡 蜜月 要花 很多 錢 。
没有人能告诉原因。	没有人 能 告诉 原因 。
你记得了你父亲的生日吗？	你 记得 了 你 父亲 的 生日 吗 ？
我努力工作养家糊口。	我 努力 工作 养家糊口 。
我最多只能付每周50美元的房租。	我 最多 只能 付 每周 50 美元 的 房租 。
我回家了，但Bill继续留在办公室。	我 回家 了 ， 但 Bill继续留在办公室 。
我有空。	我 有空 。
我常常在我的闲暇时候听广播。	我 常常 在 我的 闲暇 时候 听 广播 。
我在闲暇时候写诗。	我 在 闲暇 时候 写诗 。
我找到一个买水果很便宜的地方。	我 找到 一个 买 水果 很 便宜 的 地方 。
我喜欢唱歌。	我 喜欢 唱歌 。
我唱歌唱得很好。	我 唱歌 唱得 很好 。
我希望成为一名歌手。	我 希望 成为 一名 歌手 。
到周二的时候，我就能读完这本书了。	到 周 二 的时候 ， 我 就 能 读完 这本 书 了 。
我喜欢花，比如说，玫瑰。	我 喜欢 花 ， 比如说 ， 玫瑰 。
我正在给花浇水。	我 正在 给 花 浇水 。
我原本是不需要给花浇水的，我刚浇完就下雨了。	我 原本 是 不需要 给 花 浇水 的 ， 我 刚 浇 完 就 下雨 了 。
我要把我的玫瑰拿到花展上展示。	我 要 把 我的 玫瑰 拿到 花展 上 展示 。
我的物理老师不在乎我是否逃课。	我的 物理 老师 不在乎 我 是否 逃课 。
能否告诉我去车站的路怎么走？	能 否 告诉 我 去 车站 的 路 怎么 走 ？
听说那位母亲不让孩子做扫除或帮着做饭。	听说 那位 母亲 不让 孩子 做 扫除 或 帮着 做饭 。
这把椅子坐起来好不舒服。	这把 椅子 坐起 来 好不 舒服 。
冬天我穿一件大衣。	冬天 我 穿 一件 大衣 。
我不知道如何使用.art文件。	我 不知道 如何 使用 . art文件 。
她用绘画来装饰墙。	她 用 绘画 来 装饰 墙 。
我想再次见到他们。	我 想 再次 见到 他们 。
我想读大学之后脱离父母自立。	我 想 读 大学 之后 脱离 父母 自立 。
我想更加自立。	我 想 更加 自立 。
他们叫他吉姆。	他们 叫 他 吉姆 。
宇宙是怎样形成的？	宇宙 是 怎样 形成 的 ？
我们如何来探测时光的推移？	我们 如何 来 探测 时光 的 推移 ？
你去国外是玩儿还是出差？	你去 国外 是 玩儿 还是 出差 ？
我考虑更换工作。	我 考虑 更换 工作 。
无论你怎么说，我也不会听你的。	无论 你 怎么 说 ， 我 也 不会 听 你的 。
没有人是完美的。	没有人 是 完美 的 。
天空被焰火点亮。	天空 被 焰火 点亮 。
我们不在的时候，需要有人照看婴儿。	我们 不在 的时候 ， 需要 有 人 照看 婴儿 。
我和他在一起時很有安全感。	我 和 他 在一起 時 很 有 安全感 。
放棄吧。	放棄 吧 。
如果有人支持的話，生意是會成功的。	如果 有 人 支持 的話 ， 生意 是 會 成功 的 。
我覺得他的畫有點奇怪。	我 覺得 他的 畫 有點 奇怪 。
出席者都是日本人。	出席 者 都 是日 本人 。
他进了自己房间。	他 进了 自己 房间 。
孩子需要很多睡眠。	孩子 需要 很多 睡眠 。
小心点驾驶，不然你就麻烦了。	小心点 驾驶 ， 不然 你 就 麻烦 了 。
我已经不是个孩子了。	我 已经 不是 个 孩子 了 。
足够一天的了。	足够 一天 的 了 。
为了学习日语而来日本的外国人很多。	为了 学习 日语 而来 日本 的 外国人 很多 。
你会讲日语么？	你 会讲 日语 么 ？
讲日语对我来说很简单。	讲 日语 对我来说 很 简单 。
有没有不含酒精的饮品？	有没有 不含 酒精 的 饮品 ？
今天我终于鼓起勇气对她说：“我爱你！”。	今天 我 终于 鼓起勇气 对 她 说 ： “ 我 爱 你 ！ ” 。
为了不得感冒，她穿 了件毛衣。	为了 不得 感冒 ， 她 穿 了 件 毛衣 。
你是约翰的儿子西蒙。	你是 约翰 的 儿子 西蒙 。
看来今晚要加班到很晚了。	看来 今晚 要 加班 到 很晚 了 。
他在打扫他的房间。	他 在打 扫 他的 房间 。
我尽力奔跑。	我 尽力 奔跑 。
我拼命地跑。	我 拼命 地 跑 。
瑪麗把雞蛋一顆一顆地取了出來。	瑪 麗 把 雞蛋 一顆 一顆 地 取 了 出來 。
他就算多忙也會來的。	他 就 算 多 忙 也 會 來的 。
我不知道這是不是真的。	我 不知道 這 是不是 真的 。
他的話對我來說沒有任何意義。	他的 話 對我來說 沒有 任何 意義 。
我想聽清楚演講內容，便坐在了前面。	我 想聽 清楚 演講 內容 ， 便 坐在 了 前面 。
用你的詞典查查這些生字吧。	用 你的 詞典 查查 這些 生字 吧 。
請告訴我怎樣才能聯絡上他。	請 告訴 我 怎樣 才能 聯絡 上 他 。
他們星期五每晚都去喝酒。	他們 星期五 每晚 都去 喝酒 。
這本護照的有用期限為五年。	這本 護照 的 有用 期限 為 五年 。
極光是極地特有的自然現象。	極光 是 極地 特有 的 自然現象 。
他是個有才能的人，我們相信他會成功。	他 是 個 有才能 的 人 ， 我們 相信 他 會 成功 。
我儿子现在可以数到100。	我 儿子 现在 可以 数 到 100 。
我忙于应付期末考试。	我 忙于 应付 期末考 试 。
你可以隨時來。	你 可以 隨時 來 。
你不能來參加派對，真是可惜。	你 不能 來 參加 派對 ， 真是 可惜 。
老人看起來很傷心。	老人 看起來 很 傷心 。
Ted 等了她很久。	Ted 等了 她 很久 。
我會找個地方安頓下來，然後結婚生子的，但這是以後的事。	我 會 找個 地方 安頓 下來 ， 然後 結婚 生子 的 ， 但 這 是以 後 的 事 。
你只要努力就可以了。	你 只要 努力 就 可以 了 。
錯的是你。	錯的 是 你 。
水泥會在數個小時內凝固。	水泥 會在 數個 小時 內 凝固 。
我想知道這些物質是怎麼被人體吸收的。	我 想知道 這些 物質 是 怎麼 被人 體 吸收 的 。
Emi 是三個女孩中跳得最漂亮的。	Emi 是 三個 女孩 中 跳 得 最 漂亮 的 。
農民們如常在忙著播種。	農民 們 如常 在 忙著 播種 。
天氣挺冷的。	天氣 挺 冷的 。
严格地讲,番茄是水果。	严格地 讲 , 番茄 是 水果 。
严格地讲,这句话语法上有错误。	严格地 讲 , 这句话 语法 上有 错误 。
我预付款。	我 预付款 。
不要打扰她。	不要 打扰 她 。
我和她成了熟人。	我 和 她 成了 熟人 。
熟能生巧。	熟能生巧 。
他的行為是犯法的。	他的 行為 是 犯法 的 。
公司的職員設法隱瞞，但真相不久便水落石出了。	公司 的 職員 設法 隱瞞 ， 但 真相 不久 便 水落石出 了 。
把它放在桌上。	把 它 放在 桌上 。
你介意我抽煙嗎？	你 介意 我 抽煙 嗎 ？
照片使我憶起了很多往事。	照片 使 我 憶起 了 很多 往事 。
我換了窗簾後，房間看起來不同了。	我 換了 窗 簾 後 ， 房間 看起來 不同 了 。
你最近怎樣？	你 最近 怎樣 ？
無論外面多麼寒冷，房間始終既舒適又溫暖。	無論 外面 多麼 寒冷 ， 房間 始終 既 舒適 又 溫暖 。
這是程度的問題。	這 是 程度 的 問題 。
它和這個問題有點關係。	它 和 這個 問題 有點 關 係 。
豐田公司宣佈將會在今年裁員一千人。	豐田 公司 宣 佈 將會 在 今年 裁員 一千 人 。
那個國家三分之一的人口是文盲。	那個 國家 三分之一 的 人口 是 文盲 。
他试过写一本短篇小说。	他 试过 写 一本 短篇小说 。
這條圍巾摸起來又軟又滑。	這條 圍巾 摸 起來 又 軟 又 滑 。
月亮被雲遮住了。	月亮 被 雲 遮住 了 。
妈妈亲了她的宝贝。	妈妈 亲了 她的 宝贝 。
他常常問些傻問題。	他 常常 問 些 傻 問題 。
婴儿在睡觉。	婴儿 在 睡觉 。
婴儿开始哭了。	婴儿 开始 哭了 。
你兩三天就會回復健康了。	你 兩 三天 就 會 回復 健康 了 。
她回家了。	她 回家 了 。
他住在伦敦的效外。	他 住在 伦敦 的 效 外 。
我几乎听不到你。	我 几乎 听不到 你 。
這個不重要。	這個 不重要 。
我这个星期放假了。	我 这个 星期 放假 了 。
上星期天我的家庭去了动物园看熊猫。	上星期 天 我的 家庭 去了 动物园 看 熊猫 。
大部份的人覺得我瘋了。	大部份 的 人 覺得 我 瘋了 。
在教養上，他們可以說是和野蠻人差不多。	在教 養上 ， 他們 可以說 是 和 野蠻人 差不多 。
我們為該寫些甚麼而爭論了好幾個小時。	我們 為 該 寫 些 甚麼 而 爭論 了 好幾個 小時 。
与其喝可乐，倒不如喝香槟。	与其 喝 可乐 ， 倒不如 喝 香槟 。
这把伞是谁的？	这把 伞 是 谁的 ？
我覺得很難和他相處。	我 覺得 很難 和 他 相處 。
粗心大意的人很容易犯錯。	粗心大意 的 人 很容易 犯錯 。
他開始生氣了。	他 開始 生氣 了 。
錯的不只是你，我自己也錯了。	錯的 不只 是 你 ， 我自己 也 錯了 。
他看起來似乎生病了。	他 看起來 似乎 生病 了 。
我去紐約時會來看看你的。	我 去 紐約 時會 來看 看 你的 。
我們要面對許多的困難。	我們 要 面對 許多 的 困難 。
請叫她給我回個電話。	請 叫 她 給 我 回 個 電話 。
女孩不太喜歡洗碗，但也盡力而為。	女孩 不太 喜歡 洗碗 ， 但 也 盡力而為 。
這房間是老師專用的。	這 房間 是 老師 專用 的 。
一切都被燒成灰燼了。	一切 都被 燒成灰 燼 了 。
他比上次見面時胖了一些。	他 比 上次 見面 時 胖 了 一些 。
他們把船命名為「五月花號」。	他們 把 船 命名為 「 五月花 號 」 。
那個古老的傳統已經不復存在了。	那個 古老 的 傳統 已經 不復存在 了 。
只好坐下來等待。	只好 坐下 來 等待 。
她全神貫注地寫著詩。	她 全神貫注 地 寫著 詩 。
祖父常常邊看報紙邊點頭。	祖父 常常 邊看 報紙 邊 點頭 。
她邊揮手邊微笑著。	她 邊 揮手 邊 微笑 著 。
我想你應該節食了。	我 想 你 應該 節食 了 。
你想太多了。	你 想 太多 了 。
他的脾氣早晚會給他惹麻煩的。	他的 脾氣 早晚 會 給 他 惹麻煩 的 。
大家都以為西園寺會勝出那場決鬥的，但他卻輸了。	大家 都 以為 西 園 寺 會 勝出 那 場 決 鬥 的 ， 但 他 卻 輸 了 。
我問了 Tony 一條問題。	我 問 了 Tony 一條 問題 。
這班有三十五個學生。	這 班 有 三十五 個 學生 。
你上次去京都是甚麼時候？	你 上次 去 京都 是 甚麼 時候 ？
我吃完晚飯就出門。	我 吃完 晚飯 就 出門 。
這個議案合符我們的政策內容。	這個 議案 合 符 我們 的 政策 內容 。
我們認為他們不會買新車。	我們 認為 他們 不會 買 新 車 。
嬰兒不懂得分是非黑白。	嬰兒 不懂 得分 是非 黑白 。
大家都準備好了。	大家 都 準 備好 了 。
我和瑪莉成了好朋友。	我 和 瑪 莉 成了 好朋友 。
我十歲的時候學會了彈結他。	我 十歲 的時候 學會 了 彈 結 他 。
可以借點錢給我嗎？我現在有點缺錢。	可以 借 點錢 給 我 嗎 ？ 我 現在 有點 缺錢 。
他決心要成為一個偉大的音樂家。	他 決心要 成為 一個 偉大 的 音樂家 。
很高興見到你。	很高興 見到 你 。
平山先生是位很好的老師。	平 山 先生 是 位 很好 的 老師 。
他是個好學生。	他 是 個 好學生 。
他們把 John 踢出了俱樂部。	他們 把 John 踢出 了 俱樂部 。
他要求我盡快回覆。	他 要求 我 盡快 回覆 。
他控制了大局。	他 控制 了 大局 。
出去吃飯嗎？	出去 吃飯 嗎 ？
喝點東西嗎？	喝點 東西 嗎 ？
你有沒有看那本厚厚的書？	你 有沒有 看 那 本 厚厚 的 書 ？
我覺得他是個十分親切的人。	我 覺得 他 是 個 十分 親切 的 人 。
這張椅子坐得很舒服。	這張 椅子 坐得 很 舒服 。
成年人很難理解那些音樂。	成年人 很難 理解 那些 音樂 。
過富足的生活。	過 富足 的 生活 。
「可以借你的詞典一用嗎？」「沒問題。」	「 可以 借 你的 詞典 一 用 嗎 ？ 」 「 沒問題 。 」
我堅信他是無辜的。	我 堅信 他 是 無辜 的 。
天上萬里無雲。	天上 萬里 無雲 。
十一時了，你該上床睡覺了。	十一時 了 ， 你 該 上床 睡覺 了 。
父親是個勤奮的人。	父親 是 個 勤奮 的 人 。
那完全是胡扯。	那 完全 是 胡扯 。
你最好盡快回家。	你 最好 盡快 回家 。
前面有危險。	前面 有危險 。
人類是環境的產物。	人類 是 環境 的 產物 。
我房間裏沒有電視機。	我 房間 裏 沒有 電視機 。
你想去看電影嗎？	你 想去 看電影 嗎 ？
他將會繼承大筆的遺產。	他 將會 繼承 大筆 的 遺產 。
我打賭今晚天氣會很好。	我 打賭 今晚 天氣 會 很好 。
我的新髮型是不是很奇怪？	我的 新 髮 型 是不是 很 奇怪 ？
我最喜歡春天。	我 最喜 歡 春天 。
就連世界首富也不可能得到一切。	就連 世界 首富 也 不可能 得到 一切 。
好，我們開始工作吧。	好 ， 我們 開始 工作 吧 。
大家都尊敬他。	大家 都 尊敬 他 。
有個警察走了過來。	有 個 警察 走了 過來 。
他的英文說得不錯。	他的 英文 說得 不錯 。
他戴著帽子在那裏站著。	他 戴著 帽子 在 那 裏 站著 。
我們把活動延期了。	我們 把 活動 延期 了 。
他並不怎麼努力讀書，但成績卻很好。	他 並不 怎麼 努力 讀書 ， 但 成績 卻 很好 。
